arrival_id,date,mandi_id,crop_name,raw_crop_name,variety,arrival_quantity_qtl,farmer_count,arrival_id_was_missing,qty_was_negative,farmer_count_was_missing
ARR0023854,2026-05-06,MANDI007,Sugarcane,sugarcane,Unknown,1.7705000000000002,46.0,False,True,False
ARR0012859,2026-03-20,MANDI057,Cotton,Cotton,PBW-343,341.2900000000001,77.0,False,False,True
ARR0023766,2026-02-02,MANDI025,Paddy,धान,HD-2967,175.88,88.0,False,False,False
ARR0009572,2026-05-10,MANDI041,Maize,Makka,Premium,176.03000000000003,38.0,False,False,False
ARR0021131,2026-04-24,MANDI040,Maize,corn,Hybrid,309.07,146.0,False,False,False
ARR0022207,2026-03-25,MANDI027,Rice,Basmati,HD-2967,472.36,11.0,False,False,False
ARR0005385,2026-08-07,MANDI028,Cotton,कपास,Hybrid,126.77,5.0,False,False,False
ARR0020517,2026-06-02,MANDI026,Wheat,Gehun,PBW-343,284.92,99.0,False,False,False
ARR0015213,2026-02-27,MANDI005,Paddy,Paddy,PBW-343,54.32,122.0,False,False,False
ARR_GEN_000001,2026-02-04,MANDI031,Maize,corn,Local,431.25,60.0,True,False,False
ARR0010273,2026-03-06,MANDI021,Mustard,Sarso,Unknown,200.26,11.0,False,False,False
ARR0023476,2026-06-05,MANDI023,Mustard,Sarson,PBW-343,312.23,18.0,False,False,False
ARR0013815,2026-06-08,MANDI009,Maize,Makka,HD-2967,270.41,83.0,False,False,False
ARR0023287,2026-02-08,MANDI003,Cotton,Narma,PBW-343,44.41,127.0,False,False,False
ARR0016192,2026-07-03,MANDI023,Maize,Corn,Unknown,455.6,59.0,False,False,False
ARR0011823,2026-01-13,MANDI004,Rice,Chawal,HD-2967,60.33,124.0,False,False,False
ARR0005816,2026-01-24,MANDI039,Sugarcane,Sugarcane,PBW-343,158.3,135.0,False,False,False
ARR0006030,2026-04-22,MANDI033,Cotton,Cotton,HD-2967,436.55,128.0,False,False,False
ARR0010009,2026-03-10,MANDI004,Paddy,paddy,Unknown,291.4,81.0,False,False,True
ARR0022129,2026-02-10,MANDI040,Sugarcane,गन्ना,Local,458.13,131.0,False,False,False
ARR0015481,2026-06-09,MANDI028,Maize,Corn,Premium,72.78,68.0,False,False,False
ARR0020630,2026-08-16,MANDI028,Rice,चावल,Local,325.83,36.0,False,False,False
ARR0005888,2026-07-03,MANDI049,Maize,Corn,Unknown,182.46,78.0,False,False,True
ARR0006650,2026-09-06,MANDI043,Rice,Rice,Local,182.75,128.0,False,False,False
ARR0002363,2026-03-09,MANDI026,Maize,corn,Pusa-1121,239.47,29.0,False,False,False
ARR0010446,2026-08-05,MANDI026,Maize,Makki,Pusa-1121,178.99,21.0,False,False,False
ARR0009069,2026-05-15,MANDI022,Cotton,Narma,Pusa-1121,59.18,76.0,False,False,False
ARR0020854,2026-06-18,MANDI035,Sugarcane,Sugarcane,Pusa-1121,158.72,79.0,False,False,True
ARR0023442,2026-05-20,MANDI056,Cotton,Cotton,Unknown,258.28,73.0,False,False,False
ARR0011135,2026-06-20,MANDI035,Paddy,paddy,Premium,375.28,138.0,False,False,False
ARR0000197,2026-05-20,MANDI001,Cotton,Narma,HD-2967,76.9,118.0,False,False,False
ARR_GEN_000002,2026-05-08,MANDI002,Maize,Makka,HD-2967,285.57,46.0,True,False,False
ARR0001203,2026-04-04,MANDI045,Cotton,कपास,PBW-343,26.830000000000002,12.0,False,False,False
ARR0009407,2026-04-05,MANDI051,Mustard,Mustard,Local,108.06,78.0,False,False,False
ARR0013714,2026-03-31,MANDI038,Cotton,cotton,Premium,372.88,41.0,False,False,False
ARR0002798,2026-04-08,MANDI043,Cotton,Narma,Hybrid,354.98,11.0,False,False,False
ARR0006770,2026-06-25,MANDI015,Wheat,Gehun,Hybrid,141.83,134.0,False,False,False
ARR0019634,2026-03-25,MANDI013,Cotton,कपास,Unknown,181.37,45.0,False,False,False
ARR0012525,2026-06-25,MANDI043,Maize,Makka,Premium,334.11,119.0,False,False,False
ARR0016292,2026-02-05,MANDI049,Maize,Makki,Pusa-1121,414.58,36.0,False,False,False
ARR0019272,2026-03-05,MANDI030,Sugarcane,Sugarcane,Local,390.83,104.0,False,False,False
ARR0004049,2026-04-13,MANDI003,Paddy,Dhaan,Pusa-1121,214.12,56.0,False,False,False
ARR0002716,2026-07-17,MANDI057,Sugarcane,Sugarcane,Hybrid,413.89,106.0,False,False,False
ARR0014184,2026-02-12,MANDI037,Mustard,Mustard,PBW-343,356.49,78.0,False,False,True
ARR0008333,2026-01-15,MANDI054,Wheat,Wheat,Unknown,3.5718,133.0,False,True,False
ARR0000429,2026-08-25,MANDI039,Cotton,Cotton,Hybrid,126.56,76.0,False,False,False
ARR0024925,2026-08-04,MANDI024,Wheat,wheat,Unknown,183.44,83.0,False,False,False
ARR0019727,2026-04-30,MANDI034,Cotton,कपास,PBW-343,403.81,81.0,False,False,False
ARR0002477,2026-03-28,MANDI020,Rice,Chawal,Local,311.39,150.0,False,False,False
ARR0000342,2026-06-17,MANDI033,Cotton,Narma,Premium,191.48,30.0,False,False,False
ARR0023820,2026-07-25,MANDI029,Mustard,Mustard,Local,272.0,78.0,False,False,True
ARR0010204,2026-07-21,MANDI006,Paddy,Paddy,Unknown,25.84,102.0,False,False,False
ARR0000398,2026-03-25,MANDI029,Maize,Makki,PBW-343,20.63,44.0,False,False,False
ARR0020708,2026-06-01,MANDI054,Cotton,Narma,Hybrid,410.19999999999993,60.0,False,False,False
ARR0020105,2026-02-19,MANDI028,Mustard,Sarso,Pusa-1121,485.63,60.0,False,False,False
ARR0019842,2026-03-30,MANDI056,Sugarcane,sugarcane,Pusa-1121,29.48,112.0,False,False,False
ARR0014214,2026-02-21,MANDI031,Sugarcane,Ganne,Hybrid,478.99,123.0,False,False,False
ARR0017781,2026-05-24,MANDI031,Sugarcane,Ganne,PBW-343,460.65000000000003,46.0,False,False,False
ARR0009910,2026-04-28,MANDI041,Cotton,cotton,Pusa-1121,372.43,42.0,False,False,False
ARR0008506,2026-02-03,MANDI024,Rice,Chawal,Hybrid,74.11,96.0,False,False,False
ARR0023886,2026-07-12,MANDI011,Maize,Makka,Local,156.64,14.0,False,False,False
ARR0006149,2026-04-27,MANDI041,Cotton,Narma,Pusa-1121,46.38,103.0,False,False,False
ARR0023964,2026-07-20,MANDI008,Paddy,धान,Unknown,81.67,81.0,False,False,True
ARR0003143,2026-08-24,MANDI034,Rice,Rice,HD-2967,401.5,113.0,False,False,False
ARR0002588,2026-06-05,MANDI040,Mustard,सरसों,Unknown,44.89,137.0,False,False,False
ARR0002948,2026-02-18,MANDI019,Wheat,GEHUN,Unknown,126.46000000000001,146.0,False,False,False
ARR0015103,2026-02-22,MANDI050,Cotton,Cotton,Pusa-1121,242.45000000000002,73.0,False,False,False
ARR0011288,2026-01-04,MANDI043,Cotton,कपास,Pusa-1121,272.59,43.0,False,False,False
ARR0009656,2026-04-01,MANDI018,Sugarcane,गन्ना,HD-2967,75.37,79.0,False,False,True
ARR0002899,2026-07-23,MANDI017,Cotton,Narma,Hybrid,413.41,134.0,False,False,False
ARR0013711,2026-03-29,MANDI028,Sugarcane,sugarcane,Hybrid,47.79,15.0,False,False,False
ARR0009578,2026-04-12,MANDI016,Maize,corn,Pusa-1121,309.79,20.0,False,False,False
ARR0005981,2026-04-05,MANDI004,Rice,Rice,Premium,228.42000000000002,145.0,False,False,False
ARR0023291,2026-02-11,MANDI020,Wheat,गेहूं,Premium,80.86,89.0,False,False,False
ARR0009654,2026-03-13,MANDI030,Sugarcane,sugarcane,Unknown,243.18,31.0,False,False,False
ARR0012458,2026-05-08,MANDI039,Mustard,Mustard,Pusa-1121,276.83,24.0,False,False,False
ARR0014621,2026-05-23,MANDI056,Sugarcane,sugarcane,Local,269.53,80.0,False,False,False
ARR0016696,2026-01-31,MANDI039,Maize,Makka,Pusa-1121,62.02,132.0,False,False,False
ARR0004195,2026-07-17,MANDI035,Mustard,mustard,PBW-343,167.84,129.0,False,False,False
ARR0014009,2026-08-04,MANDI007,Maize,Corn,Unknown,418.67,85.0,False,False,False
ARR0002509,2026-05-31,MANDI013,Maize,मक्का,HD-2967,22.0,141.0,False,False,False
ARR0017972,2026-02-26,MANDI034,Paddy,Dhaan,Local,293.4,6.0,False,False,False
ARR0002169,2026-01-09,MANDI039,Paddy,Dhaan,Hybrid,0.5489,41.0,False,True,False
ARR_GEN_000003,2026-08-19,MANDI044,Wheat,wheat,Hybrid,160.17,138.0,True,False,False
ARR0003269,2026-04-03,MANDI046,Rice,Chawal,PBW-343,410.98,43.0,False,False,False
ARR0009004,2026-03-27,MANDI023,Wheat,wheat,Unknown,4.5548,120.0,False,True,False
ARR0018741,2026-02-20,MANDI056,Sugarcane,Ganna,Premium,256.67,31.0,False,False,False
ARR0014531,2026-02-03,MANDI036,Cotton,कपास,Unknown,4.5342,38.0,False,True,False
ARR0003705,2026-04-10,MANDI002,Mustard,Mustard,Hybrid,245.01,78.0,False,False,True
ARR0010827,2026-05-29,MANDI016,Rice,Chawal,Premium,156.22,95.0,False,False,False
ARR0018637,2026-04-04,MANDI046,Paddy,Dhaan,Hybrid,77.12,67.0,False,True,False
ARR0007570,2026-07-29,MANDI019,Mustard,mustard,Premium,326.35,105.0,False,False,False
ARR0011179,2026-03-30,MANDI040,Mustard,Sarso,Unknown,327.55,26.0,False,False,False
ARR0009296,2026-05-10,MANDI001,Maize,Makka,Unknown,23.5,78.0,False,False,True
ARR0019940,2026-08-21,MANDI022,Sugarcane,Sugarcane,HD-2967,16.33,68.0,False,False,False
ARR0004811,2026-05-26,MANDI020,Rice,Rice,Hybrid,89.74,77.0,False,False,False
ARR0020960,2026-03-03,MANDI047,Mustard,Sarson,Premium,323.15,78.0,False,False,True
ARR0002791,2026-02-06,MANDI055,Mustard,Sarson,PBW-343,211.28,47.0,False,False,False
ARR0012957,2026-02-10,MANDI019,Rice,Chawal,Local,278.08,36.0,False,False,False
ARR0022933,2026-04-08,MANDI037,Cotton,Kapas,Premium,28.54,9.0,False,False,False
ARR0014544,2026-07-31,MANDI022,Maize,मक्का,Pusa-1121,114.88,116.0,False,False,False
ARR0013198,2026-04-25,MANDI010,Wheat,Wheat,Pusa-1121,59.22,43.0,False,False,False
ARR0007340,2026-03-23,MANDI012,Wheat,Kanak,Premium,215.70000000000002,80.0,False,False,False
ARR0020658,2026-08-01,MANDI021,Paddy,Paddy,Hybrid,409.66,96.0,False,False,False
ARR0001088,2026-05-07,MANDI017,Mustard,Sarson,Pusa-1121,495.58,94.0,False,False,False
ARR0024650,2026-08-18,MANDI049,Mustard,Mustard,Hybrid,0.1134,61.0,False,True,False
ARR0008152,2026-06-08,MANDI008,Cotton,Cotton,Unknown,188.7,147.0,False,False,False
ARR0021890,2026-06-02,MANDI009,Sugarcane,Sugarcane,Unknown,493.91,84.0,False,False,False
ARR0007925,2026-07-19,MANDI037,Mustard,Mustard,Local,66.2,32.0,False,False,False
ARR0017611,2026-04-12,MANDI024,Maize,मक्का,Hybrid,165.63,77.0,False,False,False
ARR0016207,2026-07-07,MANDI032,Maize,Makki,Pusa-1121,310.0,34.0,False,False,False
ARR0024181,2026-05-07,MANDI015,Sugarcane,Sugarcane,Local,110.39,20.0,False,False,False
ARR0004419,2026-03-21,MANDI006,Sugarcane,Sugarcane,Hybrid,64.7,105.0,False,False,False
ARR0006199,2026-02-11,MANDI053,Sugarcane,Sugarcane,Local,153.27,79.0,False,False,False
ARR0014957,2026-01-09,MANDI019,Mustard,Sarso,Hybrid,403.96000000000004,79.0,False,False,False
ARR0023574,2026-02-26,MANDI023,Mustard,Mustard,Premium,431.18,129.0,False,False,False
ARR0017021,2026-03-14,MANDI020,Paddy,Paddy,Pusa-1121,25.36,72.0,False,False,False
ARR0001428,2026-07-10,MANDI024,Maize,Maize,Hybrid,77.75,106.0,False,True,False
ARR0002493,2026-04-14,MANDI006,Paddy,paddy,Local,1.1525,63.0,False,True,False
ARR0013505,2026-06-06,MANDI052,Mustard,mustard,Unknown,96.35,78.0,False,False,True
ARR0002010,2026-03-21,MANDI033,Wheat,WHEAT,Local,4.3201,12.0,False,True,False
ARR0002534,2026-07-02,MANDI007,Mustard,सरसों,Pusa-1121,43.98,21.0,False,False,False
ARR0009802,2026-09-07,MANDI026,Cotton,cotton,HD-2967,486.01,12.0,False,False,False
ARR0015940,2026-03-13,MANDI028,Maize,Maize,Unknown,298.47,18.0,False,False,False
ARR0005817,2026-03-20,MANDI013,Maize,corn,Unknown,287.47,12.0,False,False,False
ARR0023731,2026-03-15,MANDI008,Sugarcane,Ganna,HD-2967,389.78,79.0,False,False,True
ARR0018857,2026-01-25,MANDI042,Sugarcane,गन्ना,Hybrid,151.28,113.0,False,False,False
ARR0010088,2026-01-09,MANDI049,Mustard,सरसों,PBW-343,136.17,78.0,False,True,True
ARR0020189,2026-05-24,MANDI057,Maize,Makka,Unknown,241.75,68.0,False,False,False
ARR0022768,2026-06-28,MANDI024,Mustard,सरसों,Premium,443.71000000000004,42.0,False,False,False
ARR0018919,2026-03-17,MANDI024,Mustard,Sarson,Unknown,78.07,132.0,False,False,False
ARR0006562,2026-04-19,MANDI014,Wheat,Gehun,PBW-343,258.11,25.0,False,False,False
ARR0004149,2026-06-04,MANDI003,Rice,Rice,Premium,318.3,48.0,False,False,False
ARR0024592,2026-08-28,MANDI037,Rice,Chawal,PBW-343,62.98,55.0,False,False,False
ARR0011429,2026-08-04,MANDI042,Wheat,WHEAT,Local,193.12,101.0,False,False,False
ARR0018153,2026-02-05,MANDI027,Cotton,Narma,Local,451.02,141.0,False,False,False
ARR0006286,2026-03-03,MANDI050,Maize,Makki,PBW-343,300.38,7.0,False,False,False
ARR0000231,2026-06-07,MANDI049,Sugarcane,Sugarcane,Hybrid,185.56,82.0,False,False,False
ARR0018527,2026-08-01,MANDI010,Wheat,Kanak,Local,425.38,144.0,False,False,False
ARR0008215,2026-05-22,MANDI003,Sugarcane,sugarcane,Local,73.8,73.0,False,False,False
ARR0010793,2026-08-23,MANDI022,Rice,Chawal,Hybrid,425.79,132.0,False,False,False
ARR0006601,2026-06-22,MANDI015,Mustard,सरसों,HD-2967,1.4726,5.0,False,True,False
ARR0023800,2026-09-09,MANDI012,Sugarcane,sugarcane,PBW-343,19.0,123.0,False,False,False
ARR0021788,2026-06-07,MANDI016,Sugarcane,Ganna,Hybrid,153.67,143.0,False,False,False
ARR0019846,2026-06-21,MANDI024,Maize,मक्का,Pusa-1121,259.71,40.0,False,False,False
ARR0015205,2026-01-25,MANDI011,Rice,Basmati,HD-2967,355.64,56.0,False,False,False
ARR0008780,2026-01-30,MANDI038,Rice,Basmati,PBW-343,385.16,130.0,False,False,False
ARR0006070,2026-06-06,MANDI034,Wheat,Wheat,Unknown,312.94,65.0,False,False,False
ARR0002035,2026-06-06,MANDI049,Maize,मक्का,Unknown,153.95,97.0,False,False,False
ARR0002214,2026-01-24,MANDI044,Maize,Corn,Pusa-1121,25.92,112.0,False,False,False
ARR0017078,2026-06-29,MANDI007,Mustard,Mustard,Pusa-1121,318.73,31.0,False,False,False
ARR0004860,2026-03-30,MANDI013,Mustard,mustard,Hybrid,96.93,143.0,False,False,False
ARR0024883,2026-07-18,MANDI028,Maize,Maize,Hybrid,29.87,131.0,False,False,False
ARR0012995,2026-06-04,MANDI057,Mustard,mustard,Unknown,385.54,26.0,False,False,False
ARR0002230,2026-05-31,MANDI033,Wheat,WHEAT,Pusa-1121,364.6,127.0,False,False,False
ARR0002276,2026-08-30,MANDI057,Sugarcane,Ganne,Unknown,1.4327,113.0,False,True,False
ARR_GEN_000004,2026-09-06,MANDI046,Cotton,Narma,Local,360.53,135.0,True,False,False
ARR0005679,2026-03-03,MANDI015,Cotton,Kapas,Hybrid,140.36,51.0,False,False,False
ARR0018820,2026-05-10,MANDI032,Mustard,Sarso,Premium,181.14,116.0,False,False,False
ARR0002749,2026-01-24,MANDI031,Paddy,Paddy,Unknown,118.37,81.0,False,False,True
ARR0010291,2026-06-21,MANDI036,Cotton,कपास,PBW-343,456.27,118.0,False,False,False
ARR0004786,2026-08-01,MANDI015,Sugarcane,गन्ना,Unknown,185.58,51.0,False,False,False
ARR0004085,2026-05-19,MANDI056,Maize,मक्का,PBW-343,106.05,38.0,False,False,False
ARR0001476,2026-05-19,MANDI048,Sugarcane,Ganne,Local,323.65,68.0,False,False,False
ARR0014866,2026-04-15,MANDI032,Sugarcane,Ganna,PBW-343,402.65,53.0,False,False,False
ARR0005733,2026-09-08,MANDI048,Sugarcane,Ganna,Hybrid,118.61,42.0,False,False,False
ARR0014885,2026-07-26,MANDI035,Rice,Basmati,Premium,441.08,14.0,False,False,False
ARR0009501,2026-05-18,MANDI045,Maize,corn,PBW-343,452.35,62.0,False,False,False
ARR0017324,2026-01-30,MANDI029,Mustard,Mustard,Premium,311.41,140.0,False,False,False
ARR0018785,2026-09-08,MANDI009,Wheat,wheat,Premium,168.48,81.0,False,False,False
ARR0014174,2026-04-23,MANDI031,Sugarcane,Ganne,Unknown,246.35,83.0,False,False,False
ARR0012348,2026-05-16,MANDI057,Maize,Corn,Pusa-1121,28.0,78.0,False,False,True
ARR0002860,2026-08-25,MANDI038,Paddy,धान,Unknown,162.44,90.0,False,False,False
ARR_GEN_000005,2026-04-06,MANDI008,Wheat,Kanak,Pusa-1121,245.43,116.0,True,False,False
ARR0012382,2026-06-29,MANDI011,Mustard,Sarso,Hybrid,36.39,78.0,False,False,True
ARR0011204,2026-03-10,MANDI045,Maize,Corn,PBW-343,311.7,78.0,False,False,True
ARR0005655,2026-01-09,MANDI025,Paddy,Paddy,Premium,461.3,124.0,False,False,False
ARR0023591,2026-05-18,MANDI039,Cotton,Cotton,HD-2967,160.01,50.0,False,False,False
ARR0022554,2026-03-11,MANDI055,Rice,चावल,Hybrid,333.41,24.0,False,False,False
ARR0024390,2026-05-08,MANDI042,Rice,Basmati,Unknown,393.63,7.0,False,False,False
ARR0008952,2026-04-25,MANDI002,Sugarcane,sugarcane,Pusa-1121,394.35,89.0,False,False,False
ARR0013573,2026-06-08,MANDI015,Sugarcane,Ganne,Hybrid,408.09,6.0,False,False,False
ARR0023352,2026-06-06,MANDI044,Wheat,Gehun,Unknown,252.05,6.0,False,False,False
ARR0004259,2026-07-10,MANDI012,Cotton,Cotton,Unknown,388.22,22.0,False,False,False
ARR0024540,2026-06-14,MANDI035,Sugarcane,Ganne,HD-2967,38.59,79.0,False,False,True
ARR0012558,2026-08-21,MANDI034,Cotton,कपास,Premium,331.76,7.0,False,False,False
ARR0013252,2026-07-30,MANDI003,Cotton,Narma,HD-2967,2.1771000000000003,93.0,False,True,False
ARR0012739,2026-07-30,MANDI045,Paddy,Dhaan,Unknown,388.99,81.0,False,True,True
ARR0024633,2026-03-13,MANDI011,Rice,Chawal,PBW-343,18.99,23.0,False,False,False
ARR0016432,2026-02-19,MANDI027,Cotton,कपास,Premium,480.16,128.0,False,False,False
ARR0001973,2026-01-08,MANDI040,Mustard,Sarson,PBW-343,435.59000000000003,115.0,False,False,False
ARR0019423,2026-01-31,MANDI039,Mustard,Sarso,Premium,292.19,148.0,False,False,False
ARR0018095,2026-06-03,MANDI017,Paddy,paddy,HD-2967,459.87,104.0,False,False,False
ARR0002502,2026-06-23,MANDI041,Paddy,Dhaan,Premium,123.85999999999999,63.0,False,False,False
ARR0020339,2026-03-31,MANDI028,Mustard,Sarson,PBW-343,10.84,127.0,False,False,False
ARR0007666,2026-07-31,MANDI053,Wheat,Gehun,Unknown,258.79,69.0,False,False,False
ARR0000753,2026-07-11,MANDI008,Wheat,WHEAT,Pusa-1121,481.46000000000004,36.0,False,False,False
ARR0009620,2026-07-19,MANDI017,Maize,Maize,PBW-343,41.35,33.0,False,False,False
ARR0004038,2026-07-14,MANDI040,Paddy,धान,PBW-343,355.78,69.0,False,False,False
ARR0003704,2026-01-01,MANDI010,Cotton,कपास,Premium,0.3457,7.0,False,True,False
ARR0008822,2026-06-20,MANDI043,Mustard,Mustard,Hybrid,341.77,31.0,False,False,False
ARR0005546,2026-09-05,MANDI014,Wheat,Wheat,PBW-343,293.36,137.0,False,False,False
ARR0014760,2026-01-20,MANDI047,Maize,मक्का,Pusa-1121,407.2,78.0,False,False,True
ARR0008484,2026-04-09,MANDI039,Sugarcane,sugarcane,Pusa-1121,491.69,63.0,False,False,False
ARR0007108,2026-02-28,MANDI055,Maize,corn,PBW-343,225.72,108.0,False,False,False
ARR0000675,2026-07-02,MANDI050,Cotton,Narma,HD-2967,176.92,12.0,False,False,False
ARR0005515,2026-02-24,MANDI054,Mustard,Sarso,Unknown,178.87,70.0,False,False,False
ARR0023195,2026-05-01,MANDI036,Mustard,सरसों,Premium,408.7099999999999,136.0,False,False,False
ARR0008616,2026-01-20,MANDI004,Mustard,Sarso,Local,155.42,147.0,False,False,False
ARR0011388,2026-06-08,MANDI016,Mustard,सरसों,Pusa-1121,109.59,40.0,False,False,False
ARR0009854,2026-02-06,MANDI011,Maize,Makka,HD-2967,392.28000000000003,136.0,False,False,False
ARR0024014,2026-04-21,MANDI017,Sugarcane,Ganne,Hybrid,171.5,73.0,False,False,False
ARR0006483,2026-04-29,MANDI034,Sugarcane,गन्ना,Unknown,189.87,93.0,False,False,False
ARR0020999,2026-08-29,MANDI013,Cotton,कपास,Pusa-1121,276.65,73.0,False,False,False
ARR0003190,2026-08-09,MANDI027,Mustard,mustard,Unknown,447.07,109.0,False,False,False
ARR0013399,2026-04-05,MANDI045,Wheat,गेहूं,Premium,415.6,43.0,False,False,False
ARR0018530,2026-08-31,MANDI008,Cotton,Kapas,Unknown,56.800000000000004,108.0,False,False,False
ARR0005184,2026-02-11,MANDI026,Wheat,wheat,Local,10.57,76.0,False,False,True
ARR0023040,2026-02-19,MANDI038,Cotton,Cotton,PBW-343,355.5,18.0,False,False,False
ARR0010762,2026-03-07,MANDI038,Cotton,Narma,Pusa-1121,296.79,140.0,False,False,False
ARR0022839,2026-07-06,MANDI024,Wheat,GEHUN,Premium,322.05,59.0,False,True,False
ARR0000200,2026-03-26,MANDI031,Wheat,गेहूं,Unknown,370.63,117.0,False,False,False
ARR0018054,2026-02-03,MANDI021,Cotton,cotton,Unknown,71.58,126.0,False,False,False
ARR0021355,2026-01-07,MANDI053,Sugarcane,Ganna,Local,348.56,8.0,False,False,False
ARR0009384,2026-05-12,MANDI038,Paddy,paddy,Premium,222.33,141.0,False,False,False
ARR0008050,2026-04-27,MANDI022,Wheat,Kanak,Unknown,229.36,107.0,False,False,False
ARR0016904,2026-08-26,MANDI021,Cotton,Kapas,Pusa-1121,188.28,149.0,False,False,False
ARR0021340,2026-03-10,MANDI021,Wheat,Wheat,HD-2967,133.21,77.0,False,False,False
ARR0013462,2026-05-27,MANDI035,Mustard,सरसों,Local,488.38,102.0,False,False,False
